abieamab,Abies amabilis,Pacific silver fir
cercflor,Cercidium floridum,blue paloverde
cercledi,Cercocarpus ledifolius,curlleaf cercocarpus
cercmacr,Cercidium macrum,border paloverde
cercmicr,Cercidium microphyllum,yellow paloverde
cercocci,Cercis occidentalis,California redbud
cerctras,Cercocarpus traskiae,Catalina cercocarpus
ceregiga,Cereus giganteus,saguaro
cererobi,Cereus robinii,key tree cactus
chamlaws,Chamaecyparis lawsoniana,Port Orford cedar
chamnoot,Chamaecyparis nootkatensis,Alaska cedar
chamthyo,Chamaecyparis thyoides,Atlantic white cedar
chilline,Chilopsis linearis,desert willow
chiovirg,Chionanthus virginicus,fringetree
chryicac,Chrysobalanus icaco,cocoplum
chryoliv,Chrysophyllum oliviforme,satinleaf
cithberl,Citharexylum berlandieri,Berlandier fiddlewood
cithfrut,Citharexylum fruticosum,Florida fiddlewood
cladkent,Cladrastis kentukea,yellowwood
cletacum,Clethra acuminata,cinnamon clethra
clifmono,Cliftonia monophylla,buckwheat tree
clusrose,Clusia rosea,Florida clusia
coccarge,Coccothrinax argentata,Florida silverpalm
coccdive,Coccoloba diversifolia,pigeon plum
coccuvif,Coccoloba uvifera,seagrape
coluarbo,Colubrina arborescens,coffee colubrina
colucube,Colubrina cubensis,Cuba colubrina
coluelli,Colubrina elliptica,soldierwood
condglob,Condalia globosa,bitter condalia
condhook,Condalia hookeri,bluewood
conoerec,Conocarpus erectus,button mangrove
cordbois,Cordia boissieri,anacahuita
cordsebe,Cordia sebestena,Geiger tree
cornalte,Cornus alternifolia,alternate leaf dogwood
corndrum,Cornus drummondii,roughleaf dogwood
cornflor,Cornus florida,flowering dogwood
cornglab,Cornus glabrata,brown dogwood
cornnutt,Cornus nuttallii,Pacific dogwood
cornocci,Cornus occidentalis,western dogwood
cornrace,Cornus racemosa,gray dogwood
cornrugo,Cornus rugosa,roundleaf dogwood
cornsess,Cornus sessilis,blackfruit dogwood
cornstol,Cornus stolonifera,red osier dogwood
cornstri,Cornus stricta,stiffcornel dogwood
corycorn,Corylus cornuta,beaked hazel
cotiobov,Cotinus obovatus,American smoketree
cowamexi,Cowania mexicana,cliffrose
cratchry,Crataegus chrysocarpa,fireberry hawthorn
cratcolu,Crataegus columbiana,Columbia hawthorn
cratdoug,Crataegus douglasii,black hawthorn
crateryt,Crataegus erythropoda,Cerro hawthorn
cratsali,Crataegus saligna,willow hawthorn
cratsucc,Crataegus succulenta,fleshy hawthorn
crattrac,Crataegus tracyi,Tracy hawthorn
crosrhac,Crossopetalum rhacoma,Florida crossopetalum
cupaglab,Cupania glabra,Florida cupania
cuprariz,Cupressus arizonica,Arizona cypress
cuprbake,Cupressus bakeri,Modoc cypress
cuprgove,Cupressus goveniana,Gowen cypress
cuprguad,Cupressus guadalupensis,Tecate cypress
cuprmacn,Cupressus macnabiana,MacNab cypress
cuprmacr,Cupressus macrocarpa,Monterey cypress
cuprsarg,Cupressus sargentii,Sargent cypress
cyrirace,Cyrilla racemiflora,swamp cyrilla
dalespin,Dalea spinosa,smokethorn
diostexa,Diospyros texana,Texas persimmon
diosvirg,Diospyros virginiana,common persimmon
diphsali,Dipholis salicifolia,willow bustic
dodovisc,Dodonaea viscosa,hopbush
drypdive,Drypetes diversifolia,milkbark
dryplate,Drypetes lateriflora,Guiana plum
ehreanac,Ehretia anacua,anaqua
ellirace,Elliottia racemosa,elliottia
erytflab,Erythrina flabelliformis,southwestern coralbean
erytherb,Erythrina herbacea,eastern coralbean
esenberl,Esenbeckia berlandieri,Berlandier esenbeckia
eugeaxil,Eugenia axillaris,white stopper
eugeconf,Eugenia confusa,redberry stopper
eugefoet,Eugenia foetida,boxleaf stopper
eugerhom,Eugenia rhombea,red stopper
euonatro,Euonymus atropurpureus,eastern wahoo
euonocci,Euonymus occidentalis,western wahoo
exoscari,Exostema caribaeum,princewood
exotpani,Exothea paniculata,inkwood
eysepoly,Eysenhardtia polystachya,kidneywood
eysetexa,Eysenhardtia texana,Texas kidneywood
fagugran,Fagus grandifolia,American beech
ficuaure,Ficus aurea,Florida strangler fig
ficucitr,Ficus citrifolia,shortleaf fig
foreacum,Forestiera acuminata,swamp privet
foreangu,Forestiera angustifolia,Texas forestiera
forephil,Forestiera phillyreoides,desert olive forestiera
foresegr,Forestiera segregata,Florida privet
franalat,Franklinia alatamaha,franklinia
fraxamer,Fraxinus americana,white ash
fraxanom,Fraxinus anomala,singleleaf ash
fraxberl,Fraxinus berlandieriana,Berlandier ash
fraxcaro,Fraxinus caroliniana,Carolina ash
fraxcusp,Fraxinus cuspidata,fragrant ash
fraxdipe,Fraxinus dipetala,two petal ash
fraxgood,Fraxinus gooddingii,Goodding ash
fraxgreg,Fraxinus greggii,Gregg ash
fraxlati,Fraxinus latifolia,Oregon ash
fraxnigr,Fraxinus nigra,black ash
fraxpapi,Fraxinus papillosa,Chihuahua ash
fraxpenn,Fraxinus pennsylvanica,green ash
fraxprof,Fraxinus profunda,pumpkin ash
fraxquad,Fraxinus quadrangulata,blue ash
fraxtexe,Fraxinus texensis,Texas ash
fraxvelu,Fraxinus velutina,velvet ash
fremcali,Fremontodendron californicum,California fremontia
fremmexi,Fremontodendron mexicanum,Mexican fremontia
garrelli,Garrya elliptica,wavyleaf silktassel
geniclus,Genipa clusiifolia,seven year apple
gledaqua,Gleditsia aquatica,waterlocust
gledtria,Gleditsia triacanthos,honeylocust
gordlasi,Gordonia lasianthus,loblolly bay
guaiangu,Guaiacum angustifolium,Texas lignumvitae
guaisanc,Guaiacum sanctum,roughbark lignumvitae
guapdisc,Guapira discolor,blolly
guetelli,Guettarda elliptica,elliptic leaf velvetseed
guetscab,Guettarda scabra,roughleaf velvetseed
gymilati,Gyminda latifolia,falsebox
gymndioi,Gymnocladus dioicus,Kentucky coffeetree
gymnluci,Gymnanthes lucida,oysterwood
halecaro,Halesia carolina,Carolina silverbell
haledipt,Halesia diptera,two wing silverbell
haleparv,Halesia parviflora,little silverbell
hamavirg,Hamamelis virginiana,witch hazel
hamepate,Hamelia patens,scarletbush
heliparv,Helietta parvifolia,barreta
hippmanc,Hippomane mancinella,manchineel
holaemor,Holacantha emoryi,holacantha
hypetrif,Hypelate trifoliata,hypelate
ilexambi,Ilex ambigua,Carolina holly
ilexamel,Ilex amelanchier,sarvis holly
ilexcass,Ilex cassine,dahoon
ilexcori,Ilex coriacea,large gallberry
ilexdeci,Ilex decidua,possumhaw
ilexkrug,Ilex krugiana,tawnyberry holly
ilexlaev,Ilex laevigata,smooth winterberry
ilexlong,Ilex longipes,Georgia holly
ilexmont,Ilex montana,mountain winterberry
ilexmyrt,Ilex myrtifolia,myrtle dahoon
ilexopac,Ilex opaca,American holly
ilexvert,Ilex verticillata,common winterberry
ilexvomi,Ilex vomitoria,yaupon
illiflor,Illicium floridanum,Florida anise tree
illiparv,Illicium parviflorum,yellow anise tree
jacqkeye,Jacquinia keyensis,joewood
juglcali,Juglans californica,California walnut
juglcine,Juglans cinerea,butternut
juglhind,Juglans hindsii,Hinds walnut
juglmajo,Juglans major,Arizona walnut
juglmicr,Juglans microcarpa,little walnut
juglnigr,Juglans nigra,black walnut
juniashe,Juniperus ashei,Ashe juniper
junicali,Juniperus californica,California juniper
junicomm,Juniperus communis,common juniper
junidepp,Juniperus deppeana,alligator juniper
junieryt,Juniperus erythrocarpa,redberry juniper
juniflac,Juniperus flaccida,drooping juniper
junihori,Juniperus horizontalis,creeping juniper
junimono,Juniperus monosperma,one seed juniper
juniocci,Juniperus occidentalis,western juniper
junioste,Juniperus osteosperma,Utah juniper
junipinc,Juniperus pinchotii,Pinchot juniper
juniscop,Juniperus scopulorum,Rocky Mountain juniper
junisili,Juniperus silicicola,southern redcedar
junivirg,Juniperus virginiana,eastern redcedar
kalmlati,Kalmia latifolia,mountain laurel
koebspin,Koeberlinia spinosa,allthorn
krugferr,Krugiodendron ferreum,leadwood
lagurace,Laguncularia racemosa,white mangrove
larilari,Larix laricina,tamarack
larilyal,Larix lyallii,subalpine larch
lariocci,Larix occidentalis,western larch
larrdiva,Larrea divaricata,creosote bush
leitflor,Leitneria floridana,corkwood
leucpulv,Leucaena pulverulenta,great leadtree
leucretu,Leucaena retusa,littleleaf leadtree
libodecu,Libocedrus decurrens,incense cedar
licatria,Licaria triandra,Florida licaria
liqustyr,Liquidambar styraciflua,sweetgum
lirituli,Liriodendron tulipifera,yellow poplar
lithdens,Lithocarpus densiflorus,tanoak
lyonferr,Lyonia ferruginea,tree lyonia
lyonflor,Lyonothamnus floribundus,Lyontree
lysilati,Lysiloma latisiliquum,Bahama lysiloma
lysimicr,Lysiloma microphylla,littleleaf lysiloma
maclpomi,Maclura pomifera,Osage orange
magnacum,Magnolia acuminata,cucumbertree
magnashe,Magnolia ashei,Ashe magnolia
magnfras,Magnolia fraseri,Fraser magnolia
magngran,Magnolia grandiflora,southern magnolia
magnmacr,Magnolia macrophylla,bigleaf magnolia
magnpyra,Magnolia pyramidata,pyramid magnolia
magntrip,Magnolia tripetala,umbrella magnolia
magnvirg,Magnolia virginiana,sweetbay
maluangu,Malus angustifolia,southern crab apple
malucoro,Malus coronaria,sweet crab apple
maludive,Malus diversifolia,Oregon crab apple
maluioen,Malus ioensis,prairie crab apple
manibaha,Manilkara bahamensis,wild dilly
mastfoet,Mastichodendron foetidissimum,false mastic
maytphyl,Maytenus phyllanthoides,Florida mayten
metotoxi,Metopium toxiferum,Florida poisontree
morumicr,Morus microphylla,Texas mulberry
morurubr,Morus rubra,red mulberry
myrcfrag,Myrcianthes fragrans,twinberry stopper
myricali,Myrica californica,Pacific bayberry
myriceri,Myrica cerifera,southern bayberry
myrihete,Myrica heterophylla,evergreen bayberry
myriinod,Myrica inodora,odorless bayberry
myripens,Myrica pensylvanica,northern bayberry
nectcori,Nectandra coriacea,Florida nectandra
nemocoll,Nemopanthus collinus,mountain holly
nolibige,Nolina bigelovii,Bigelow nolina
nyssaqua,Nyssa aquatica,water tupelo
nyssogec,Nyssa ogeche,Ogeechee tupelo
nysssylv,Nyssa sylvatica,"black tupelo, blackgum"
olneteso,Olneya tesota,tesota
opunfulg,Opuntia fulgida,jumping cholla
osmaamer,Osmanthus americanus,devilwood
ostrchis,Ostrya chisosensis,Chisos hophornbean
ostrknow,Ostrya knowltonii,Knowlton hophornbeam
ostrvirg,Ostrya virginiana,eastern hophornbeam
oxydarbo,Oxydendrum arboreum,sourwood
parkacul,Parkinsonia aculeata,Jerusalem thorn
persborb,Persea borbonia,redbay
photarbu,Photinia arbutifolia,Christmas berry
picebrew,Picea breweriana,Brewer spruce
picechih,Picea chihuahuana,chihuahua spruce
piceenge,Picea engelmannii,Engelmann spruce
piceglau,Picea glauca,white spruce
picemari,Picea mariana,black spruce
picepung,Picea pungens,blue spruce
picerube,Picea rubens,red spruce
picesitc,Picea sitchensis,Sitka spruce
picrpent,Picramnia pentandra,bitterbush
pincpube,Pinckneya pubens,pinckneya
pinualbi,Pinus albicaulis,whitebark pine
pinuaris,Pinus aristata,bristlecone pine
pinuatte,Pinus attenuata,knobcone pine
pinuayac,Pinus ayacahuite,Mexican white pine
pinubalf,Pinus balfouriana,foxtail pine
pinubank,Pinus banksiana,jack pine
pinucari,Pinus caribaea,Caribbean pine
pinucemb,Pinus cembroides,Mexican pinyon
pinuclau,Pinus clausa,sand pine
pinucont,Pinus contorta,lodgepole pine
pinucoop,Pinus cooperi,Cooper pine
pinucoul,Pinus coulteri,Coulter pine
pinucube,Pinus cubensis,Cuban pine
pinuculm,Pinus culminicola,Potosi pinyon
pinudoug,Pinus douglasiana,Douglas pine
pinudura,Pinus durangensis,Durango pine
pinuechi,Pinus echinata,shortleaf pine
pinuedul,Pinus edulis,pinyon
pinuelli,Pinus elliottii,slash pine
pinuenge,Pinus engelmannii,Apache pine
pinuflex,Pinus flexilis,limber pine
pinuglab,Pinus glabra,spruce pine
pinugreg,Pinus greggii,Gregg pine
pinuhart,Pinus hartwegii,Hartweg pine
pinujeff,Pinus jeffreyi,Jeffrey pine
pinulamb,Pinus lambertiana,sugar pine
pinulaws,Pinus lawsonii,Lawson pine
pinuleio,Pinus leiophylla,Chihuahua pine
pinulong,Pinus longaeva,Intermountain bristlecone pine
pinulumh,Pinus lumholtzii,Lumholtz pine
pinumaxi,Pinus maximartinezii,Mart?nez pinyon
pinumich,Pinus michoacana,Michoac§n pine
pinumono,Pinus monophylla,singleleaf pinyon
pinumont,Pinus monticola,western white pine
pinumtez,Pinus montezumae,Montezuma pine
pinumuri,Pinus muricata,bishop pine
pinunels,Pinus nelsonii,Nelson pinyon
pinuocci,Pinus occidentalis,West Indian pine
pinuooca,Pinus oocarpa,Nicaraguan pitch pine; ocote pine
pinupalu,Pinus palustris,longleaf pine
pinupatu,Pinus patula,Mexican weeping pine
pinupinc,Pinus pinceana,Pince pinyon
pinupond,Pinus ponderosa,ponderosa pine
pinuprin,Pinus pringlei,Pringle pine
pinupseu,Pinus pseudostrobus,False Weymouth pine
pinupung,Pinus pungens,Table Mountain pine
pinuquad,Pinus quadrifolia,Parry pinyon
pinuradi,Pinus radiata,Monterey pine
pinuresi,Pinus resinosa,red pine
pinurigi,Pinus rigida,pitch pine
pinusabi,Pinus sabiniana,Digger pine
pinusero,Pinus serotina,pond pine
pinustrb,Pinus strobus,eastern white pine
pinustro,Pinus strobiformis,southwestern white pine
pinutaed,Pinus taeda,loblolly pine
pinuteoc,Pinus teocote,Twisted leaves pine; Aztec pine
pinutorr,Pinus torreyana,Torrey pine
pinutrop,Pinus tropicalis,tropical pine
pinuvirg,Pinus virginiana,Virginia pine
pinuwash,Pinus washoensis,Washoe pine
piscpisc,Piscidia piscipula,Florida fishpoison tree
pisorotu,Pisonia rotundata,pisonia
pisttexa,Pistacia texana,Texas pistache
pithflex,Pithecellobium flexicaule,ebony blackbead
pithguad,Pithecellobium guadalupense,Guadeloupe blackbead
pithpall,Pithecellobium pallens,huajillo
pithungu,Pithecellobium unguis-cati,catclaw blackbead
planaqua,Planera aquatica,planertree
platocci,Platanus occidentalis,American sycamore
platrace,Platanus racemosa,California sycamore
platwrig,Platanus wrightii,Arizona sycamore
popuangu,Populus angustifolia,narrowleaf cottonwood
popuariz,Populus arizonica,Arizona cottonwood
popubals,Populus balsamifera,balsam poplar
popudelt,Populus deltoides,eastern cottonwood
popufrem,Populus fremontii,Fremont cottonwood
popugran,Populus grandidentata,bigtooth aspen
popuhete,Populus heterophylla,swamp cottonwood
popuhinc,Populus hinckleyana,Hinckley cottonwood
poputrem,Populus tremuloides,quaking aspen
poputric,Populus trichocarpa,black cottonwood
prosjuli,Prosopis juliflora,mesquite
prospube,Prosopis pubescens,screwbean mesquite
prunalle,Prunus alleghaniensis,Allegheny plum
prunamer,Prunus americana,American plum
prunangu,Prunus angustifolia,Chickasaw plum
pruncaro,Prunus caroliniana,Carolina laurelcherry
prunemar,Prunus emarginata,bitter cherry
prunfrem,Prunus fremontii,desert apricot
prunhort,Prunus hortulana,hortulan plum
prunilic,Prunus ilicifolia,hollyleaf cherry
prunlyon,Prunus lyonii,Catalina cherry
prunmexi,Prunus mexicana,Mexican plum
prunmuns,Prunus munsoniana,wildgoose plum
prunmyrt,Prunus myrtifolia,West Indies cherry
prunnigr,Prunus nigra,Canada plum
prunpens,Prunus pensylvanica,pin cherry
prunsero,Prunus serotina,black cherry
prunsubc,Prunus subcordata,Klamath plum
prunumbe,Prunus umbellata,flatwoods plum
prunvirg,Prunus virginiana,common chokecherry
pseumacr,Pseudotsuga macrocarpa,bigcone Douglas fir
pseumenz,Pseudotsuga menziesii,Douglas fir
pseusarg,Pseudophoenix sargentii,buccaneer palm
psidlong,Psidium longipes,long stalk stopper
ptelcren,Ptelea crenulata,California hoptree
pteltrif,Ptelea trifoliata,common hoptree
queragri,Quercus agrifolia,California live oak
querajoe,Quercus ajoensis,Ajo oak
queralba,Quercus alba,white oak
querariz,Quercus arizonica,Arizona white oak
querarka,Quercus arkansana,Arkansas oak
querbico,Quercus bicolor,swamp white oak
querchap,Quercus chapmanii,Chapman oak
querchry,Quercus chrysolepis,canyon live oak
quercocc,Quercus coccinea,scarlet oak
querdoug,Quercus douglasii,blue oak
querdunn,Quercus dunnii,Dunn oak
querdura,Quercus durandii,Durand oak
querelli,Quercus ellipsoidalis,northern pin oak
queremor,Quercus emoryi,Emory oak
querenge,Quercus engelmannii,Engelmann oak
querfalc,Quercus falcata,southern red oak
quergamb,Quercus gambelii,Gambel oak
quergarr,Quercus garryana,Oregon white oak
quergeor,Quercus georgiana,Georgia oak
querglau,Quercus glaucoides,Lacey oak
quergrac,Quercus graciliformis,Chisos oak
quergrav,Quercus gravesii,Graves oak incl. Q. tardifolia (Muller) lateleaf oak
quergris,Quercus grisea,gray oak
querhava,Quercus havardii,Havard oak
querhypo,Quercus hypoleucoides,silverleaf oak
querilic,Quercus ilicifolia,bear oak
querimbr,Quercus imbricaria,shingle oak
querinca,Quercus incana,bluejack oak
querkell,Quercus kelloggii,California black oak
querlaev,Quercus laevis,turkey oak
querlaur,Quercus laurifolia,laurel oak
querloba,Quercus lobata,California white oak
querlyra,Quercus lyrata,overcup oak
quermacd,Quercus macdonaldii,McDonald oak
quermacr,Quercus macrocarpa,bur oak
quermari,Quercus marilandica,blackjack oak
quermich,Quercus michauxii,swamp chestnut oak
quermohr,Quercus mohriana,Mohrs oak
quermueh,Quercus muehlenbergii,chinkapin oak
quermyrt,Quercus myrtifolia,myrtle oak
quernigr,Quercus nigra,water oak
quernutt,Quercus nuttallii,Nuttall oak
queroblo,Quercus oblongifolia,Mexican blue oak
querogle,Quercus oglethorpensis,Oglethorpe oak
querpalu,Quercus palustris,pin oak
querphel,Quercus phellos,willow oak
querprin,Quercus prinus,chestnut oak
querpung,Quercus pungens,sandpaper oak
querrubr,Quercus rubra,northern red oak
querrugo,Quercus rugosa,netleaf oak
quershum,Quercus shumardii,Shumard oak
querstel,Quercus stellata,post oak
quertome,Quercus tomentella,island live oak
quertoum,Quercus toumeyi,Toumey oak
querturb,Quercus turbinella,shrub live oak
quervelu,Quercus velutina,black oak
quervirg,Quercus virginiana,live oak
querwisl,Quercus wislizeni,interior live oak
rapapunc,Rapanea punctata,Florida rapanea
reynsept,Reynosia septentrionalis,darling plum
rhambetu,Rhamnus betulaefolia,birchleaf buckthorn
rhamcali,Rhamnus californica,California buckthorn
rhamcaro,Rhamnus caroliniana,Carolina buckthorn
rhamcroc,Rhamnus crocea,hollyleaf buckthorn
rhampurs,Rhamnus purshiana,cascara buckthorn
rhizmang,Rhizophora mangle,mangrove
rhodcata,Rhododendron catawbiense,Catawba rhododendron
rhodmacr,Rhododendron macrophyllum,Pacific rhododendron
rhodmaxi,Rhododendron maximum,rosebay rhododendron
rhuschor,Rhus choriophylla,Mearns sumac
rhuscopa,Rhus copallina,shining sumac
rhusglab,Rhus glabra,smooth sumac
rhusinte,Rhus integrifolia,lemonade sumac
rhuskear,Rhus kearneyi,Kearney sumac
rhuslanc,Rhus lanceolata,prairie sumac
rhuslaur,Rhus laurina,laurel sumac
rhusmicr,Rhus microphylla,littleleaf sumac
rhusovat,Rhus ovata,sugar sumac
rhustyph,Rhus typhina,staghorn sumac
robikels,Robinia kelseyi,Kelsey locust
robineom,Robinia neomexicana,New Mexican locust
robipseu,Robinia pseudoacacia,black locust
robivisc,Robinia viscosa,clammy locust
royselat,Roystonea elata,Florida royalpalm
sabamexi,Sabal mexicana,Mexican palmetto
sabamino,Sabal minor,dwarf palmetto
sabapalm,Sabal palmetto,cabbage palmetto
salialax,Salix alaxensis,feltleaf willow
saliamyg,Salix amygdaloides,peachleaf willow
saliarbu,Salix arbusculoides,peachleaf willow
salibebb,Salix bebbiana,Bebb willow
salibonp,Salix bonplandiana,Bonpland willow
salicaro,Salix caroliniana,Coastal Plain willow
salidisc,Salix discolor,pussy willow
saliexig,Salix exigua,coyote willow
saliflor,Salix floridana,Florida willow
salifluv,Salix fluviatilis,river willow
saligeye,Salix geyeriana,Geyer willow
salihind,Salix hindsiana,Hinds willow
salihook,Salix hookeriana,Hooker willow
salilaev,Salix laevigata,red willow
salilasi,Salix lasiandra,Pacific willow
salilaso,Salix lasiolepis,arroyo willow
saliluci,Salix lucida,shining willow
salimack,Salix mackenzieana,Mackenzie willow
salinigr,Salix nigra,black willow
salipell,Salix pellita,satiny willow
salipeti,Salix petiolaris,meadow willow
salipyri,Salix pyrifolia,balsam willow
saliscou,Salix scouleriana,Scouler willow
saliseri,Salix sericea,silky willow
salisess,Salix sessilifolia,northwest willow
salisitc,Salix sitchensis,Sitka willow
salitaxi,Salix taxifolia,yewleaf willow
salitrac,Salix tracyi,Tracy willow
sambcall,Sambucus callicarpa,Pacific red elder
sambcana,Sambucus canadensis,American elder
sambglau,Sambucus glauca,blueberry elder
sambmela,Sambucus melanocarpa,blackbead elder
sambmexi,Sambucus mexicana,Mexican elder
sambvelu,Sambucus velutina,velvet elder
sapibilo,Sapium biloculare,jumping bean sapium
sapidrum,Sapindus drummondii,western soapberry
sapisapo,Sapindus saponaria,wingleaf soapberry
sassalbi,Sassafras albidum,sassafras
savibaha,Savia bahamensis,maidenbush
schafrut,Schaefferia frutescens,Florida boxwood
schochry,Schoepfia chrysophylloides,graytwig
sequgiga,Sequoiadendron giganteum,giant sequoia
sequsemp,Sequoia sempervirens,redwood
sererepe,Serenoa repens,saw palmetto
sheparge,Shepherdia argentea,silver buffaloberry
simaglau,Simarouba glauca,paradise tree
solaeria,Solanum erianthum,mullein nightshade
sophaffi,Sophora affinis,Texas sophora
sophsecu,Sophora secundiflora,mescalbean
sorbamer,Sorbus americana,American mountain ash
sorbdeco,Sorbus decora,showy mountain ash
sorbscop,Sorbus scopulina,Greene mountain ash
sorbsitc,Sorbus sitchensis,Sitka mountain ash
stapbola,Staphylea bolanderi,Sierra bladdernut
staptrif,Staphylea trifolia,American bladdernut
stewmala,Stewartia malacodendron,Virginia stewartia
stewovat,Stewartia ovata,mountain stewartia
styramer,Styrax americana,American snowbell
styrgran,Styrax grandifolia,bigleaf snowbell
styrplat,Styrax platanifolia,sycamore leaf snowbell
surimari,Suriana maritima,baycedar
swiemaha,Swietenia mahagoni,West Indies mahogany
symptinc,Symplocos tinctoria,common sweetleaf
taxodist,Taxodium distichum,baldcypress
taxomucr,Taxodium mucronatum,Montezuma baldcypress
taxubrev,Taxus brevifolia,Pacific yew
taxucana,Taxus canadensis,Canada yew
taxuflor,Taxus floridana,Florida yew
tetrbico,Tetrazygia bicolor,Florida tetrazygia
thrimorr,Thrinax morrisii,key thatchpalm
thriradi,Thrinax radiata,Florida thatchpalm
thujocci,Thuja occidentalis,northern white cedar
